lat,lon,pano_id,color
6.547,3.233,e-QUh1dQdexnD0Kxi7tX8g,#588CC7
6.548,3.217,92c4sfN0ypnHoZKoizN8gA,#588CC7
6.549,3.219,1B4plV_3JRJY9zclQBRmMQ,#588CC7
6.548,3.234,mf4pqcIkIYP-WbDNFhRwpw,#588CC7
6.55,3.237,3-I3u1z9LSZVm11NHpGr7A,#588CC7
6.55,3.22,xffjCrv1AmIzYzA7voVmDA,#588CC7
6.549,3.236,2hqXo8Z8I-KpyVH2l2O-hw,#588CC7
6.551,3.222,Bo3oE-OEY0eDcprO9z_lAg,#588CC7
6.552,3.241,KtgqLyXChoVnk7SIQBTarg,#588CC7
6.552,3.223,3oVwqXmyHRQL2Ry-JOAV8A,#588CC7
6.551,3.239,-UcibfmgjyoT5doXXJ-UKA,#588CC7
6.553,3.208,urds_HuWY8pNYqMo811prw,#588CC7
6.553,3.225,ZS8E5NwQ_JCa_ZqCtTTUKw,#588CC7
6.553,3.242,YmYeuEF8mZmJigGelJ8Yag,#588CC7
6.554,3.209,n3VAyUlkZ-yYFbKvqtneaw,#588CC7
6.554,3.226,Zr52kPkkYjNk_ejmNL9BfA,#588CC7
6.554,3.244,r-DWQu7cFp1ju0DEmddJqg,#588CC7
6.555,3.211,Oqkud8gL1Vz54n8KJ6l0iA,#588CC7
6.556,3.212,eZwDitxDBDK8U3k5lMkFBg,#588CC7
6.555,3.228,dX_WmlnXK9hUT0bPmJYu3g,#588CC7
6.555,3.245,rX-NhyoSzqJZ3VOTtrTavQ,#588CC7
6.556,3.23,GfOOZTHZD1lNjYdy_HjHBQ,#588CC7
6.557,3.214,yFsD2Tuyl9zyG059OwnFIA,#588CC7
6.556,3.247,4lRGKcRyvivPHef8sfqfCw,#588CC7
6.557,3.231,exk3A-_wKiqzuHEmY_VD_Q,#588CC7
6.559,3.217,bmuheVdjqB1C3FYENMJHyw,#588CC7
6.558,3.233,clzChLfOzV2WYdzrpEkj6Q,#588CC7
6.559,3.234,IA4YTG-_lOo108QMbTcwEg,#588CC7
6.558,3.215,CNrjl031oM0O84-vF9ELIw,#588CC7
6.557,3.248,LNiy9yxI5r3hidNkn9v07g,#588CC7
6.56,3.236,tcCA4TahmqfMKcDTk6XUNg,#588CC7
6.56,3.219,DQLuw9W6E9xMKFMk2Scffg,#588CC7
6.561,3.22,d1qA5UpgaIf2F_sYm1XH6A,#588CC7
6.562,3.222,QrUj6wmYjf8tsf-tTLMBug,#588CC7
6.562,3.239,3QvLmSrhdphUt4WvVyuFFg,#588CC7
